year,period,month_name,value,footnotes
2000,M12,December,4.1,
2001,M01,January,4.3,
2001,M02,February,4.0,
2001,M03,March,4.2,
2001,M04,April,3.9,
2001,M05,May,4.1,
2001,M06,June,3.9,
2001,M07,July,4.0,
2001,M08,August,4.0,
2001,M09,September,3.8,
2001,M10,October,3.9,
2001,M11,November,3.7,
2001,M12,December,3.7,
2002,M01,January,3.7,
2002,M02,February,3.7,
2002,M03,March,3.6,
2002,M04,April,3.8,
2002,M05,May,3.7,
2002,M06,June,3.7,
2002,M07,July,3.8,
2002,M08,August,3.7,
2002,M09,September,3.7,
2002,M10,October,3.7,
2002,M11,November,3.7,
2002,M12,December,3.7,
2003,M01,January,3.9,
2003,M02,February,3.6,
2003,M03,March,3.4,
2003,M04,April,3.5,
2003,M05,May,3.6,
2003,M06,June,3.6,
2003,M07,July,3.6,
2003,M08,August,3.6,
2003,M09,September,3.7,
2003,M10,October,3.8,
2003,M11,November,3.7,
2003,M12,December,3.8,
2004,M01,January,3.7,
2004,M02,February,3.7,
2004,M03,March,4.0,
2004,M04,April,3.9,
2004,M05,May,3.8,
2004,M06,June,3.8,
2004,M07,July,3.7,
2004,M08,August,3.8,
2004,M09,September,3.8,
2004,M10,October,3.9,
2004,M11,November,3.9,
2004,M12,December,3.9,
2005,M01,January,3.9,
2005,M02,February,4.0,
2005,M03,March,4.0,
2005,M04,April,4.0,
2005,M05,May,3.9,
2005,M06,June,4.0,
2005,M07,July,4.0,
2005,M08,August,4.0,
2005,M09,September,4.1,
2005,M10,October,3.8,
2005,M11,November,4.0,
2005,M12,December,3.9,
2006,M01,January,3.9,
2006,M02,February,4.0,
2006,M03,March,4.1,
2006,M04,April,3.8,
2006,M05,May,4.0,
2006,M06,June,4.0,
2006,M07,July,4.1,
2006,M08,August,3.9,
2006,M09,September,3.9,
2006,M10,October,3.9,
2006,M11,November,4.0,
2006,M12,December,3.8,
2007,M01,January,3.9,
2007,M02,February,3.8,
2007,M03,March,4.0,
2007,M04,April,3.9,
2007,M05,May,4.0,
2007,M06,June,3.8,
2007,M07,July,3.8,
2007,M08,August,3.9,
2007,M09,September,3.9,
2007,M10,October,3.9,
2007,M11,November,3.7,
2007,M12,December,3.7,
2008,M01,January,3.7,
2008,M02,February,3.7,
2008,M03,March,3.6,
2008,M04,April,3.6,
2008,M05,May,3.4,
2008,M06,June,3.6,
2008,M07,July,3.4,
2008,M08,August,3.4,
2008,M09,September,3.3,
2008,M10,October,3.3,
2008,M11,November,3.0,
2008,M12,December,3.2,
2009,M01,January,3.1,
2009,M02,February,3.0,
2009,M03,March,2.9,
2009,M04,April,2.9,
2009,M05,May,2.9,
2009,M06,June,2.8,
2009,M07,July,3.0,
2009,M08,August,2.9,
2009,M09,September,3.0,
2009,M10,October,3.0,
2009,M11,November,3.1,
2009,M12,December,3.1,
2010,M01,January,3.0,
2010,M02,February,3.0,
2010,M03,March,3.3,
2010,M04,April,3.2,
2010,M05,May,3.4,
2010,M06,June,3.1,
2010,M07,July,3.2,
2010,M08,August,3.1,
2010,M09,September,3.1,
2010,M10,October,3.2,
2010,M11,November,3.2,
2010,M12,December,3.3,
2011,M01,January,3.1,
2011,M02,February,3.2,
2011,M03,March,3.4,
2011,M04,April,3.3,
2011,M05,May,3.2,
2011,M06,June,3.3,
2011,M07,July,3.2,
2011,M08,August,3.3,
2011,M09,September,3.3,
2011,M10,October,3.3,
2011,M11,November,3.3,
2011,M12,December,3.3,
